president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
Donald Trump (2nd term),Cost,Harris Insights & Analytics,Harvard CAPS,3/25/2026,3/26/2026,2009, RV,1.158001,1.158001,,38,56,-18,34.85061,59.6697,-24.81909,https://harvardharrispoll.com/wp-content/uploads/2026/03/HHP_Mar2026_KeyResults.pdf,3/26/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),Immigration,Harris Insights & Analytics,Harvard CAPS,3/25/2026,3/26/2026,2009, RV,1.158001,1.025288,,46,48,-2,43.94585,50.80116,-6.855309,https://harvardharrispoll.com/wp-content/uploads/2026/03/HHP_Mar2026_KeyResults.pdf,3/26/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Trade,Harris Insights & Analytics,Harvard CAPS,3/25/2026,3/26/2026,2009, RV,1.158001,1.025288,,41,53,-12,39.5547,55.45981,-15.90511,https://harvardharrispoll.com/wp-content/uploads/2026/03/HHP_Mar2026_KeyResults.pdf,3/26/2026,16:01:27  2 Apr 2026
Donald Trump (2nd term),Economy,Harris Insights & Analytics,Harvard CAPS,3/25/2026,3/26/2026,2009, RV,1.158001,1.025288,,40,54,-14,38.22975,56.49404,-18.26429,https://harvardharrispoll.com/wp-content/uploads/2026/03/HHP_Mar2026_KeyResults.pdf,3/26/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Weak,Harris Insights & Analytics,Harvard CAPS,3/25/2026,3/26/2026,2009, RV,1.158001,0.9589316,,19,12,7,18.0688,10.9882,7.0806,https://harvardharrispoll.com/wp-content/uploads/2026/03/HHP_Mar2026_KeyResults.pdf,3/26/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),All polls,Harris Insights & Analytics,Harvard CAPS,3/25/2026,3/26/2026,2009, RV,1.158001,0.9589316,,43,53,-10,41.11761,55.21109,-14.09348,https://harvardharrispoll.com/wp-content/uploads/2026/03/HHP_Mar2026_KeyResults.pdf,3/26/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Strong,Harris Insights & Analytics,Harvard CAPS,3/25/2026,3/26/2026,2009, RV,1.158001,0.9589316,,24,41,-17,23.17745,44.65034,-21.47289,https://harvardharrispoll.com/wp-content/uploads/2026/03/HHP_Mar2026_KeyResults.pdf,3/26/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Trade,SSRS,CNN,3/26/2026,3/30/2026,1201, A,0.936313,0.936313,,27,72,-45,28.0195,68.53937,-40.51987,https://www.documentcloud.org/documents/27964261-cnn-poll-conducted-by-ssrs-trump-approval-economy/,3/30/2026,16:01:27  2 Apr 2026
Donald Trump (2nd term),Immigration,SSRS,CNN,3/26/2026,3/30/2026,1201, A,0.936313,0.936313,,41,59,-18,41.84022,56.64544,-14.80522,https://www.documentcloud.org/documents/27964261-cnn-poll-conducted-by-ssrs-trump-approval-economy/,3/30/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Economy,SSRS,CNN,3/26/2026,3/30/2026,1201, A,0.936313,0.936313,,31,69,-38,31.82136,66.24517,-34.42381,https://www.documentcloud.org/documents/27964261-cnn-poll-conducted-by-ssrs-trump-approval-economy/,3/30/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Voters,Harris Insights & Analytics,Harvard CAPS,3/25/2026,3/26/2026,1475, LV,1.085227,0.8987158,,46,52,-6,44.39001,54.2083,-9.818291,https://harvardharrispoll.com/wp-content/uploads/2026/03/HHP_Mar2026_KeyResults.pdf,3/26/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/26/2026,4/1/2026,1500, LV,0.896499,0.896499,TRUE,46,52,-6,42.45343,53.72619,-11.27276,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/1/2026,16:00:37  2 Apr 2026
