poll_id,year,state,state_po,candidate_name,party,votes,pct,sample_size
1,1976,ALABAMA,AL,"CARTER, JIMMY",DEMOCRAT,659170,55.73,1182850
2,1976,ALABAMA,AL,"FORD, GERALD",REPUBLICAN,504070,42.61,1182850
3,1976,ALABAMA,AL,"MADDOX, LESTER",OTHER,9198,0.78,1182850
4,1976,ALABAMA,AL,"BUBAR, BENJAMIN """"BEN""""",OTHER,6669,0.56,1182850
5,1976,ALABAMA,AL,"HALL, GUS",OTHER,1954,0.17,1182850
6,1976,ALABAMA,AL,"MACBRIDE, ROGER",LIBERTARIAN,1481,0.13,1182850
7,1976,ALASKA,AK,"FORD, GERALD",REPUBLICAN,71555,57.9,123574
8,1976,ALASKA,AK,"CARTER, JIMMY",DEMOCRAT,44058,35.65,123574
9,1976,ALASKA,AK,"MACBRIDE, ROGER",LIBERTARIAN,6785,5.49,123574
10,1976,ARIZONA,AZ,"FORD, GERALD",REPUBLICAN,418642,56.37,742719
11,1976,ARIZONA,AZ,"CARTER, JIMMY",DEMOCRAT,295602,39.8,742719
12,1976,ARIZONA,AZ,"MCCARTHY, EUGENE """"GENE""""",OTHER,19229,2.59,742719
13,1976,ARIZONA,AZ,"MACBRIDE, ROGER",LIBERTARIAN,7647,1.03,742719
14,1976,ARIZONA,AZ,"CAMEJO, PETER",OTHER,928,0.12,742719
15,1976,ARIZONA,AZ,"ANDERSON, THOMAS J.",OTHER,564,0.08,742719
16,1976,ARIZONA,AZ,"MADDOX, LESTER",OTHER,85,0.01,742719
17,1976,ARKANSAS,AR,"CARTER, JIMMY",DEMOCRAT,498604,64.96,767535
18,1976,ARKANSAS,AR,"FORD, GERALD",REPUBLICAN,267903,34.9,767535
20,1976,ARKANSAS,AR,"MADDOX, LESTER",OTHER,389,0.05,767535
21,1976,CALIFORNIA,CA,"FORD, GERALD",REPUBLICAN,3882244,49.75,7803770
22,1976,CALIFORNIA,CA,"CARTER, JIMMY",DEMOCRAT,3742284,47.95,7803770
23,1976,CALIFORNIA,CA,"MACBRIDE, ROGER",OTHER,56388,0.72,7803770
24,1976,CALIFORNIA,CA,"MADDOX, LESTER",OTHER,51098,0.65,7803770
25,1976,CALIFORNIA,CA,"WRIGHT, MARGARET",OTHER,41731,0.53,7803770
26,1976,CALIFORNIA,CA,"CAMEJO, PETER",OTHER,17259,0.22,7803770
27,1976,CALIFORNIA,CA,"HALL, GUS",OTHER,12766,0.16,7803770
28,1976,COLORADO,CO,"FORD, GERALD",REPUBLICAN,584278,54.03,1081440
29,1976,COLORADO,CO,"CARTER, JIMMY",DEMOCRAT,460801,42.61,1081440
30,1976,COLORADO,CO,"MCCARTHY, EUGENE """"GENE""""",OTHER,26047,2.41,1081440
31,1976,COLORADO,CO,"MACBRIDE, ROGER",LIBERTARIAN,5338,0.49,1081440
32,1976,COLORADO,CO,"BUBAR, BENJAMIN """"BEN""""",OTHER,2886,0.27,1081440
33,1976,COLORADO,CO,"CAMEJO, PETER",OTHER,1122,0.1,1081440
34,1976,COLORADO,CO,"LAROUCHE, LYNDON, JR.",OTHER,565,0.05,1081440
35,1976,COLORADO,CO,"HALL, GUS",OTHER,403,0.04,1081440
36,1976,CONNECTICUT,CT,"FORD, GERALD",REPUBLICAN,719261,51.88,1386355
37,1976,CONNECTICUT,CT,"CARTER, JIMMY",DEMOCRAT,647895,46.73,1386355
38,1976,CONNECTICUT,CT,SCATTERING,OTHER,10309,0.74,1386355
39,1976,CONNECTICUT,CT,"MADDOX, LESTER",OTHER,7101,0.51,1386355
